id,context,question,option_a,option_b,option_c,option_d,correct_answer
275,"Parametrii formali sunt declarați în definiția funcției, iar argumentele sunt valorile efective transmise la apel.",Care este diferența dintre parametri formali și argumente?,"Argumentele sunt constante, parametrii formali sunt variabile globale","Parametrii formali sunt definiți în funcție, argumentele sunt valorile transmise la apel",Nu există nicio diferență,Parametrii formali sunt locali funcției main,B
276,Prototipul unei funcții informează compilatorul despre tipul de retur și tipurile parametrilor așteptați.,Ce rol are prototipul unei funcții?,Optimizează timpul de execuție,Definește implementarea completă a funcției,Informează compilatorul despre tipul de retur și parametri,Creează o copie a funcției principale,C
277,Cuvântul cheie 'void' indică faptul că o funcție nu returnează nicio valoare.,Ce înseamnă tipul de retur 'void' al unei funcții?,Funcția nu returnează nimic,Funcția returnează o valoare logică,Funcția este apelată recursiv,Funcția returnează zero,A
278,"În C, separatorul între parametrii unei funcții este virgula.",Ce simbol se folosește pentru a separa parametrii unei funcții în C?,",",;,.,:,A
279,Instrucțiunea 'return expression;' permite returnarea unei valori către funcția apelantă.,Cum returnează o funcție o valoare în C?,Prin modificarea unei variabile globale,Prin folosirea instrucțiunii return expression;,Prin afișare cu printf,Prin operatorul =,B
280,Funcția main returnează o valoare întreagă sistemului de operare la finalul execuției.,Ce semnificație are valoarea returnată de funcția main?,Este ignorată de compilator,"1 indică succes, 0 indică eroare","0 indică succes, alte valori indică erori",Returnează timpul de execuție al programului,C
281,"În C, toate funcțiile transmit parametrii prin valoare.",Cum sunt transmiși parametrii unei funcții în C?,Prin copiere de pointeri,Prin referință implicită,Prin valoare,Prin referință,C
282,Transmiterea prin valoare presupune copierea valorii argumentului în parametrul formal.,Ce presupune transmiterea parametrilor prin valoare?,Se modifică direct valoarea argumentului,Se transmite o copie a valorii argumentului,Parametrul și argumentul referă aceeași locație de memorie,Parametrii sunt globali,B
283,Stiva apelului de funcție este o structură LIFO care gestionează adresele de retur și variabilele locale.,Ce rol are stiva apelului de funcție?,Memorează datele de intrare/ieșire,Reține toate fișierele incluse,Gestionează apelurile funcțiilor și adresele de retur,Gestionează doar variabilele globale,C
284,Un cadru de stivă este creat pentru fiecare apel de funcție și eliminat la returnarea acesteia.,Ce conține cadrul de stivă al unei funcții?,Adresa de retur și variabilele locale ale funcției,Valorile tuturor funcțiilor apelate anterior,Rezultatul funcției precedente,Fișierele header incluse,A
285,Eroarea 'stack overflow' apare când sunt prea multe apeluri de funcții și stiva devine plină.,Ce cauzează eroarea 'stack overflow'?,Lipsa fișierelor header,Prea multe apeluri de funcții fără eliberarea cadrului de stivă,Utilizarea operatorilor logici incorect,Prea multe variabile globale,B
286,"Există patru clase de stocare în C: auto, register, static și extern.",Care sunt cele patru clase de stocare din C?,"private, public, protected, extern","const, static, dynamic, extern","auto, register, static, extern","local, global, static, temp",C
287,Variabilele locale au durata de stocare automată și există doar cât timp funcția este activă.,Cât timp există o variabilă locală cu stocare automată?,Pe durata întregii sesiuni de compilare,Cât timp funcția este activă,Doar până la prima iterație a buclei,Pe toată durata programului,B
288,O variabilă statică este inițializată o singură dată și își păstrează valoarea între apeluri.,Ce caracterizează o variabilă statică locală?,Poate fi accesată din orice fișier,Este creată la fiecare apel al funcției,Este distrusă imediat după execuție,Își păstrează valoarea între apeluri,D
289,"Variabilele globale și funcțiile au, implicit, stocare statică externă.",Ce tip de stocare au implicit variabilele globale?,Locală,Dinamică,Automată,Exterioară (statică extern),D
290,Cuvântul cheie 'register' sugerează compilatorului să stocheze variabila într-un registru al procesorului.,Ce rol are specificatorul 'register'?,Stochează variabila în memoria secundară,Blochează optimizarea variabilei,Sugerează stocarea în registrul procesorului pentru acces rapid,Transformă variabila în pointer,C
291,Etichetele folosite în instrucțiuni goto au vizibilitate la nivel de funcție (function scope).,Ce nivel de vizibilitate au etichetele în C?,De fișier,De bloc,De funcție,Global,C
292,Orice identificator declarat în afara unei funcții are vizibilitate la nivel de fișier (file scope).,Ce înseamnă vizibilitatea de tip 'file scope'?,Identificatorul poate fi accesat doar dintr-o buclă,Identificatorul este accesibil în tot fișierul sursă,Identificatorul este local funcției apelate,Identificatorul este vizibil doar în funcția main,B
293,Identificatorii declarați între acolade { } au vizibilitate limitată la acel bloc de cod.,Ce înseamnă 'block scope'?,Variabila este accesibilă doar în blocul în care este declarată,Variabila este accesibilă în toate funcțiile,Variabila este accesibilă în toate fișierele proiectului,Variabila este vizibilă doar în main,A
294,Function-prototype scope se aplică identificatorilor din lista de parametri a prototipului unei funcții.,Ce identificatori au 'function-prototype scope'?,Constantele numerice,Etichetele goto,Variabilele globale,Parametrii din lista de prototip a unei funcții,D
295,Funcțiile statice sunt accesibile doar în fișierul sursă în care au fost definite.,Care este limita de vizibilitate a unei funcții declarate static?,Doar în cadrul unei bucle,Doar din fișierul sursă curent,Doar din funcția main,Este accesibilă din orice fișier,B
296,"Variabilele globale ar trebui evitate, deoarece pot produce efecte colaterale între funcții.",De ce se recomandă evitarea variabilelor globale?,Pentru că pot cauza efecte colaterale între funcții,Pentru că ocupă prea multă memorie RAM,Pentru că nu pot fi inițializate,Pentru că sunt mai lente,A
297,"Funcțiile mici, cu scop bine definit, facilitează mentenanța și reutilizarea codului.",Care este avantajul funcțiilor de dimensiuni reduse?,Fac codul mai clar și ușor de reutilizat,Nu necesită prototip,Se compilează automat în librării,Sunt mai rapide indiferent de conținut,A
298,"Într-un program modular, funcțiile sunt unitățile principale de construcție.",Ce reprezintă funcțiile într-un program modular?,Instrucțiuni simple,Unități principale de construcție a programului,Comentarii descriptive,Erori de compilare,B
299,"Pentru ca apelul unei funcții să fie valid, prototipul, antetul și apelul trebuie să coincidă în număr, tip și ordine a parametrilor.","Ce condiție trebuie îndeplinită între prototip, antet și apelul funcției?",Să aibă același tip de bloc returnat,Să fie scrise în același fișier,"Să aibă același număr, tip și ordine a parametrilor",Să folosească aceleași nume de variabile,C
300,Transmiterea parametrilor prin referință permite modificarea valorilor originale ale variabilelor apelante.,Ce efect are transmiterea parametrilor prin referință?,Creează copii independente ale variabilelor,Modifică valorile originale ale variabilelor apelante,Previne accesul la memorie,Ignoră parametrii formali,B
301,"Stiva apelului de funcție respectă principiul LIFO (Last In, First Out).",Ce principiu urmează stiva apelului de funcție?,RANDOM - Aleatoriu,"MIFO - Middle In, First Out","LIFO - Last In, First Out","FIFO - First In, First Out",C
302,Fiecare funcție apelată creează un cadru de stivă care conține informațiile necesare pentru execuție și retur.,Ce informații conține cadrul de stivă al unei funcții?,Lista completă a fișierelor incluse,Adresa de retur și variabilele locale,Rezultatele finale ale tuturor funcțiilor,Doar parametrii globali ai programului,B
303,Instrucțiunea return determină scoaterea cadrului curent din stivă și revenirea controlului la apelant.,Ce efect are instrucțiunea return asupra stivei?,Șterge ultimul cadru și revine la funcția apelantă,Nu afectează stiva,Golește complet stiva,Creează un nou cadru de stivă,A
304,"Eroarea 'stack overflow' apare atunci când stiva de apeluri este plină, de obicei din cauza recursivității excesive.",Ce poate cauza o eroare de tip stack overflow?,Folosirea operatorilor logici greșit,Apeluri recursive fără condiție de oprire,O variabilă globală prea mare,Utilizarea fișierelor header multiple,B
305,"Transmiterea parametrilor prin valoare creează o copie a variabilei, iar modificările nu afectează originalul.",Ce se întâmplă cu valoarea originală a unei variabile când este transmisă prin valoare?,Este copiată și rămâne neschimbată,Este modificată permanent,Este convertită automat în pointer,Este ștearsă după apel,A
306,Transmiterea prin referință permite funcției apelate să modifice variabila originală din apelant.,Cum afectează transmiterea prin referință variabilele apelantului?,Le blochează modificarea,Le convertește în constante,Le copiază într-un alt spațiu de memorie,Le poate modifica direct,D
307,Variabilele 'auto' sunt create automat la intrarea în bloc și distruse la ieșire.,Când este creată și distrusă o variabilă 'auto'?,Când este apelată o funcție externă,La începutul și sfârșitul funcției în care este declarată,Când programul este compilat,La începutul programului și finalul execuției,B
308,"Variabilele 'register' pot fi accesate mai rapid, deoarece sunt stocate în registrele procesorului.",Care este avantajul variabilelor 'register'?,Pot fi folosite global,Sunt accesate mai rapid de procesor,Ocupa mai puțină memorie RAM,Sunt salvate automat pe disc,B
309,Cuvântul cheie 'extern' indică faptul că o variabilă este definită într-un alt fișier sursă.,Ce semnificație are specificatorul 'extern'?,Variabila este statică locală,Variabila este globală și definită în alt fișier sursă,Are vizibilitate doar în main,Este creată în interiorul unei funcții,B
310,O variabilă statică declarată într-o funcție își păstrează valoarea între apeluri succesive.,Ce se întâmplă cu o variabilă statică locală între apelurile funcției?,Își păstrează valoarea de la apelul anterior,Este distrusă imediat după return,Este copiată în stivă,Este resetată la zero de fiecare dată,A
311,Toate variabilele statice numerice sunt inițializate automat la 0 de compilator.,Care este valoarea implicită a unei variabile statice numerice neinițializate?,Valoare aleatorie,0,,1,B
312,Durata de stocare definește perioada în care o variabilă există în memorie.,Ce determină durata de stocare a unei variabile?,Numele variabilei,Clasa de stocare,Dimensiunea fișierului sursă,Tipul de date,B
313,Vizibilitatea (scope) definește porțiunea de cod unde un identificator poate fi accesat.,Ce reprezintă vizibilitatea unei variabile?,Dimensiunea alocată în stivă,Zona din cod unde poate fi utilizată,Valoarea implicită la inițializare,Durata de viață în memorie,B
314,Identificatorii declarați în interiorul unui bloc au vizibilitate doar în acel bloc.,Unde sunt vizibile variabilele declarate într-un bloc?,În întregul program,În toate funcțiile din fișier,În tot fișierul sursă,Doar în interiorul acelui bloc,D
315,Etichetele utilizate în combinație cu instrucțiunea goto au vizibilitate la nivel de funcție.,Ce nivel de vizibilitate au etichetele goto?,De fișier,De bloc,Global,De funcție,D
316,Fișierele header (.h) conțin prototipuri de funcții și definiții de constante folosite în alte fișiere.,Ce conține de obicei un fișier header în C?,Date binare,Doar funcția main,Instrucțiuni printf,Prototipuri de funcții și constante,D
317,Instrucțiunea #include <stdio.h> face cunoscut compilatorului prototipul funcției printf pentru întregul program.,Ce efect are #include <stdio.h>?,Optimizează performanța compilatorului,Definește funcția main,Declanșează execuția programului,Importă prototipul funcției printf și alte funcții standard I/O,D
318,Prototipurile funcțiilor trebuie incluse înainte de apelurile lor pentru a permite verificarea tipurilor de argumente.,De ce este important să incluzi prototipul unei funcții înainte de apel?,Pentru a aloca memorie variabilelor locale,Pentru a optimiza timpul de rulare,Pentru a forța conversia tipurilor de date,Pentru a evita avertismentele compilatorului și erorile de tip,D
319,Funcția getline citește o linie de la tastatură și returnează lungimea acesteia.,Ce returnează funcția getline din exemplul cursului?,Codul ASCII al caracterului '\n',Lungimea liniei citite,Ultimul caracter citit,Numărul de linii citite,B
320,"În funcția getline, caracterul de sfârșit de linie '\n' este inclus în șirul citit, urmat de '\0'.",Cum tratează funcția getline caracterul de sfârșit de linie?,Îl șterge automat,Îl adaugă în șir urmat de '\0',Îl înlocuiește cu spațiu,Îl ignoră complet,B
321,EOF (End of File) marchează sfârșitul introducerii datelor și este obținut în Windows prin combinația CTRL+Z urmată de ENTER.,Cum se semnalează sfârșitul fișierului (EOF) în Windows?,Prin tasta ESC,Prin SHIFT+ENTER,Prin CTRL+Z urmat de ENTER,Prin ALT+F4,C
322,Funcția strindex caută un șir într-o altă linie și returnează indexul primei apariții.,Ce returnează funcția strindex dacă șirul este găsit?,Numărul de caractere găsite,Valoarea -1,Indexul primei apariții a șirului,Lungimea liniei analizate,C
323,"Dacă funcția strindex nu găsește șirul căutat, returnează valoarea -1.",Ce valoare returnează funcția strindex dacă nu găsește șirul?,0,1,EOF,-1,D
324,Cadrul de stivă al unei funcții este creat la apel și distrus automat la terminarea acesteia.,Când este distrus cadrul de stivă al unei funcții?,La începutul programului,După finalizarea funcției și execuția return,Când compilatorul optimizează codul,După fiecare linie de cod,B
325,Funcțiile pot fi definite în fișiere separate și conectate prin compilare multiplă și linkare.,Cum pot fi combinate mai multe funcții definite în fișiere diferite?,Prin conversie binară,Prin directiva #combine,Prin compilare separată și linkare,Prin includerea funcției main în fiecare fișier,C
326,"Un header creat de programator are extensia .h și este inclus în alte fișiere sursă cu #include ""nume.h"".",Cum se include un fișier header creat de programator?,"#include ""nume.h""",#import <nume.h>,#open header.h,#link <nume.h>,A
327,"Funcțiile din librăria standard C, precum printf și scanf, sunt declarate în fișiere header standard.",Unde sunt declarate funcțiile standard precum printf și scanf?,În fișierul executabil,În fișiere header standard precum stdio.h,În funcția main,În librăriile dinamice .dll,B
328,"Pentru documentare, este recomandat să includeți și numele parametrilor în prototipul funcției, nu doar tipurile.",De ce este util să includem numele parametrilor în prototipul funcției?,Pentru a evita includerea fișierelor header,Pentru claritate și documentare,Pentru a reduce dimensiunea executabilului,Pentru optimizarea codului,B
329,Conversia implicită a argumentelor în momentul apelului funcției poartă numele de coercion of arguments.,Ce reprezintă coercion of arguments?,Folosirea automată a valorilor implicite pentru argumente lipsă,Conversia automată a tipurilor argumentelor la tipurile parametrilor,Transformarea funcțiilor în pointeri,Ignorarea tipurilor argumentelor la compilare,B
330,Regulile de conversie aritmetică specifică modul în care valorile sunt convertite fără pierderea informației.,Ce rol au regulile de conversie aritmetică în C?,Specifică ordinea apelurilor de funcții,Stabilesc durata de viață a variabilelor,Determină cum sunt convertite valorile între tipuri diferite fără pierderi,Controlează alocarea memoriei dinamice,C
331,Un tablou este un tip de date derivat care stochează elemente de același tip în locații de memorie contigue.,Ce reprezintă un tablou în limbajul C?,O structură care stochează elemente de același tip în memorie contiguă,O variabilă care poate stoca doar o valoare,O expresie logică,O funcție care manipulează caractere,A
332,Primul element dintr-un tablou C are întotdeauna indexul 0.,Care este indexul primului element dintr-un tablou C?,-1,Depinde de tipul tabloului,1,0,D
333,Fiecare element dintr-un tablou este accesat folosind operatorul [ ].,Cum se accesează un element dintr-un tablou în C?,Prin pointer direct,Prin operatorul (),Prin operatorul {},Prin operatorul [],D
334,"Tablourile sunt entități statice, adică își păstrează dimensiunea pe toată durata execuției programului.",Ce caracteristică definește tablourile în C?,Depind de funcția main,Își pot modifica dimensiunea în timpul execuției,Au dimensiune fixă stabilită la definire,Sunt dinamice implicit,C
335,Definiția unui tablou are forma tip_de_date nume_tablou[nr_elem];,Care este forma corectă de definire a unui tablou în C?,array tip_de_date nume[n];,tip_de_date nume_tablou[nr_elem];,declare nume_tablou[n];,int tablou();,B
336,"Când un tablou este inițializat cu o listă mai scurtă decât dimensiunea declarată, elementele rămase sunt setate la 0.",Ce se întâmplă dacă un tablou este inițializat parțial?,Elementele neinițializate primesc valoarea 0,Se generează eroare de compilare,Elementele neinițializate conțin valori aleatorii,Se ignoră lista de inițializare,A
337,Omiterea numărului de elemente în definiția unui tablou face ca dimensiunea sa să fie determinată automat din lista de inițializare.,Cum este determinată dimensiunea unui tablou dacă nu este specificată explicit?,Prin valoarea primului element,Prin numărul elementelor din lista de inițializare,Este mereu 10 implicit,Se generează eroare,B
338,"Tablourile nu sunt automat inițializate la zero, spre deosebire de variabilele statice.",Sunt tablourile automat inițializate la zero în C?,Numai tablourile locale,"Da, toate tipurile de tablouri",Numai tablourile globale și statice,Niciun tip de tablou,C
339,O eroare logică apare atunci când programatorul accesează un element din afara limitelor tabloului.,Ce se întâmplă dacă este accesat un element în afara limitelor tabloului?,Elementul este ignorat,Programul se oprește automat,Rezultatul este nedefinit (comportament imprevizibil),Compilatorul generează o eroare de sintaxă,C
340,Constantele simbolice sunt definite de obicei cu majuscule pentru claritate.,Cum se scriu de obicei constantele simbolice în C?,Cu prefixul CONST_,Cu majuscule,Cu litere mici,Cu cifre și litere amestecate,B
341,Directiva #define este folosită pentru definirea constantelor simbolice.,Ce directivă se folosește pentru a defini o constantă simbolică?,#value,#static,#const,#define,D
342,"O constantă simbolică nu ocupă memorie, fiind înlocuită la compilare cu valoarea ei.",Când este înlocuită o constantă simbolică cu valoarea sa?,La execuție,După rularea programului,După apelarea funcției main,În timpul compilării,D
343,Pentru definirea constantelor simbolice cu mai multe cuvinte se folosește convenția snake_case.,Ce convenție se folosește pentru constante simbolice formate din mai multe cuvinte?,camelCase,UpperCamel,snake_case,PascalCase,C
344,"Funcția srand() inițializează generatorul de numere aleatoare, iar rand() generează numere pseudoaleatoare.",Ce rol au funcțiile srand() și rand()?,Gestionează fluxul de execuție,Inițializează și citesc fișiere,Inițializează și generează numere pseudoaleatoare,Calculează valorile minime și maxime,C
345,Un șir de caractere este un tablou de tip char terminat cu caracterul nul '\0'.,Cu ce caracter se termină toate șirurile de caractere în C?,'\n','\0',' ','\t',B
346,Un tablou definit ca char str[20] poate conține 19 caractere utile și un caracter de terminare '\0'.,Câte caractere utile poate conține un tablou definit ca char str[20]?,18,19,20,Depinde de conținut,B
347,Funcția scanf() poate depăși dimensiunea unui tablou dacă nu este limitată corespunzător.,De ce trebuie precizată dimensiunea maximă la folosirea scanf() pentru șiruri?,Pentru a reduce memoria folosită,Pentru a preveni depășirea limitelor tabloului,Pentru a accelera citirea datelor,Pentru a forța conversia în numere întregi,B
348,Calificatorul static aplicat unui tablou local face ca acesta să își păstreze valorile între apeluri succesive ale funcției.,Ce efect are calificatorul static asupra unui tablou local?,Îl șterge la finalul execuției,Îl face global,Îl face temporar,Îi păstrează valorile între apeluri ale funcției,D
349,"Tablourile statice sunt inițializate la începutul programului, iar elementele lor neinițializate sunt setate la zero.",Când sunt inițializate tablourile statice?,Când sunt apelate explicit,La fiecare apel al funcției,La începutul programului,La finalul execuției,C
350,"Când un tablou este transmis unei funcții, se transmite automat adresa primului element.",Cum sunt transmise tablourile către funcții în C?,Prin pointer dublu,Prin valoare,Prin copiere completă,Prin referință (adresa primului element),D
351,"Pentru a preveni modificarea elementelor tabloului într-o funcție, se poate folosi modificatorul const.",Cum poate fi protejat un tablou transmis unei funcții împotriva modificării?,Prin folosirea modificatorului const în parametri,Prin declararea tabloului global,Prin copierea tuturor elementelor,Prin blocarea memoriei,A
352,Bubble sort compară elemente adiacente dintr-un tablou și le interschimbă dacă sunt în ordine greșită.,Ce face algoritmul bubble sort?,Ordonează elementele prin comparații și interschimbări succesive,Copiază toate elementele unui tablou,Șterge valorile duplicate,Combină două tablouri,A
353,"Bubble sort este simplu de implementat, dar ineficient pentru volume mari de date.",Care este dezavantajul principal al bubble sort?,Nu poate sorta valori negative,Produce erori logice frecvente,Rulează lent pe seturi mari de date,Folosește prea multă memorie,C
354,Căutarea liniară compară elementul căutat cu fiecare valoare din tablou până la găsirea unei potriviri.,Cum funcționează căutarea liniară?,Sare direct la mijlocul tabloului,Sortează mai întâi tabloul,Compară fiecare element în ordine până la găsirea celui căutat,Folosește pointeri pentru acces rapid,C
355,Căutarea binară funcționează doar pe tablouri ordonate.,Ce condiție trebuie îndeplinită pentru a aplica căutarea binară?,Tabloul trebuie să fie ordonat,Tabloul trebuie să fie neordonat,Tabloul trebuie să conțină doar valori pozitive,Tabloul trebuie să conțină doar valori unice,A
356,"Într-un tablou bidimensional, al doilea indice variază mai rapid decât primul.",Care indice variază mai repede într-un tablou bidimensional în C?,Depinde de compilator,Ambii simultan,Al doilea,Primul,C
357,"Când un tablou 2D este transmis unei funcții, numărul de coloane trebuie specificat explicit.",Ce dimensiune trebuie specificată când un tablou 2D este transmis unei funcții?,Ambele dimensiuni,Numărul de linii,Numărul de coloane,Nicio dimensiune,C
358,"Elementele unui tablou bidimensional sunt stocate consecutiv în memorie, linie cu linie.",Cum sunt stocate elementele unui tablou bidimensional în memorie?,"Linie cu linie, consecutiv",Pe coloane,Aleatoriu,În ordine descrescătoare,A
359,"Tablourile cu lungime variabilă (VLA) au dimensiunea stabilită la rularea programului, nu la compilare.",Când se stabilește dimensiunea unui tablou cu lungime variabilă (VLA)?,La rulare,La compilare,La includerea librăriilor,După terminarea programului,A
360,Standardul C permite utilizarea tablourilor VLA pentru flexibilitate în lucrul cu date de dimensiune necunoscută.,De ce sunt utile tablourile cu lungime variabilă (VLA)?,Sunt mai rapide decât tablourile statice,Permit definirea tablourilor cu dimensiune stabilită la rulare,Reduc automat dimensiunea memoriei folosite,Elimină nevoia de pointeri,B
361,Un pointer este o variabilă care conține adresa unei alte variabile din memorie.,Ce este un pointer în limbajul C?,O funcție care returnează o valoare,O constantă logică,Un tip de date numeric,O variabilă care conține adresa unei alte variabile,D
362,"Pointerii sunt folosiți pentru a obține cod eficient și compact, permițând acces direct la memorie.",Care este unul dintre avantajele utilizării pointerilor?,Simplifică sintaxa programelor,Permit acces direct și eficient la memorie,Împiedică erorile de memorie,Înlocuiesc complet variabilele globale,B
363,Operatorul '&' returnează adresa unei variabile din memorie.,Ce face operatorul '&' în C?,Returnează valoarea unei variabile,Compară două adrese,Șterge conținutul unei variabile,Returnează adresa unei variabile,D
364,Operatorul '*' este folosit pentru dereferențiere — obținerea valorii de la adresa stocată într-un pointer.,Ce rol are operatorul '*' când este aplicat unui pointer?,Transformă valoarea în caracter,Returnează adresa variabilei,Returnează valoarea stocată la adresa respectivă,Creează un nou pointer,C
365,Operatorul '&' nu poate fi aplicat constantelor sau variabilelor de tip register.,Asupra căror elemente nu poate fi folosit operatorul '&'?,Expresii și constante,Elemente ale tablourilor,Variabile globale,Elemente de tip pointer,A
366,Pointerii trebuie inițializați înainte de utilizare pentru a evita erorile de execuție fatale.,Ce se poate întâmpla dacă un pointer neinițializat este dereferențiat?,Valoarea pointerului este setată automat la 0,Programul funcționează normal,Pointerul este convertit în întreg,Se produce o eroare de execuție fatală,D
367,Transmiterea parametrilor prin referință se implementează în C folosind pointeri.,Cum se realizează transmiterea parametrilor prin referință în C?,Prin pointeri,Prin variabile const,Prin fișiere externe,Prin variabile globale,A
368,Calificatorul const previne modificarea accidentală a variabilelor și îmbunătățește siguranța codului.,Care este rolul calificatorului const?,Determină tipul de retur al funcției,Previne modificarea datelor marcate cu const,Permite modificarea liberă a datelor,Optimizează timpul de compilare,B
369,"Un pointer către void (void*) poate stoca adresa oricărui tip de date, dar nu poate fi dereferențiat.",Ce limitare are pointerul generic void*?,Nu poate fi dereferențiat direct,Poate stoca doar adrese de tip int,Este alocat automat în stivă,Este incompatibil cu pointerii const,A
370,"Un pointer constant către date non-constante nu poate schimba adresa la care pointează, dar poate modifica datele.",Ce poate face un pointer constant către date non-constante?,Poate schimba adresa,Nu poate fi inițializat,Poate modifica valorile din adresa la care pointează,Nu poate modifica datele,C
371,Numele unui tablou este un pointer constant către primul element al tabloului.,Ce reprezintă numele unui tablou în C?,O variabilă ce poate fi incrementată,O funcție care returnează adresa tabloului,Un pointer constant către primul element,O expresie logică,C
372,"Operatorul sizeof returnează dimensiunea unui obiect sau tip de date, exprimată în octeți.",Ce returnează operatorul sizeof?,Numărul de elemente dintr-un tablou,"Dimensiunea, în octeți, a unui obiect sau tip de date",Adresa variabilei,Tipul de date al unei expresii,B
373,Numărul de elemente dintr-un tablou poate fi calculat ca sizeof(array) / sizeof(array[0]).,Cum se calculează numărul de elemente dintr-un tablou?,sizeof(array) / sizeof(array[0]),sizeof(array[0]) / sizeof(array),sizeof(array) + sizeof(array[0]),sizeof(array[0]) * sizeof(array),A
374,"În C, expresia a[i] este echivalentă cu *(a + i).",Ce expresie este echivalentă cu a[i]?,*a[i],*(a + i),&a[i],(a & i),B
375,Expresiile &a[i] și (a + i) reprezintă aceeași adresă în memorie.,Ce expresii sunt echivalente în C?,a[i] și (a - i),a și &a,&a[i] și *(a + i),&a[i] și (a + i),D
376,"Pointerii pot fi incrementați și decremențați, iar adunarea unui întreg la un pointer este permisă.",Ce operații sunt permise cu pointerii în C?,"Adunare, scădere și comparare între pointeri compatibili",Comparare cu numere reale,Shift la stânga și dreapta,Înmulțire și împărțire,A
377,Zero (NULL) nu este niciodată o adresă validă pentru datele programului.,Ce semnificație are adresa NULL în C?,Indică o locație de stocare constantă,Reprezintă începutul memoriei programului,Indică o adresă invalidă sau nulă,Este adresa funcției main,C
378,Adunarea a doi pointeri este o operație invalidă în C.,Ce operație este ilegală cu pointerii în C?,Compararea cu NULL,Adunarea unui pointer cu un întreg,Adunarea a doi pointeri,Scăderea a doi pointeri către același tablou,C
379,"Un pointer void nu poate fi dereferențiat direct, deoarece compilatorul nu cunoaște tipul de date referit.",De ce nu poate fi dereferențiat un pointer void?,Pentru că ocupă prea mult spațiu în memorie,Pentru că este rezervat compilatorului,Pentru că tipul de date referit este necunoscut,Pentru că este o constantă,C
380,Un pointer poate fi comparat cu NULL pentru a verifica dacă este valid.,Cum poate fi verificat dacă un pointer este valid?,Comparându-l cu adresa primei variabile,Comparându-l cu NULL,Comparându-l cu 1,Apelând funcția sizeof(pointer),B
381,Un pointer la caracter (char *) poate fi folosit pentru a manipula șiruri de caractere.,Ce tip de pointer se folosește pentru a manipula șiruri de caractere?,char *,void *,float *,int *,A
382,O constantă șir de caractere este un tablou de caractere terminat cu '\0'.,Ce este o constantă șir de caractere în C?,Un pointer static,Un tablou de caractere terminat cu '\0',O adresă de memorie constantă,O variabilă globală,B
383,"Un tablou de pointeri este o structură care conține mai mulți pointeri, fiecare indicând o altă locație de memorie.",Ce conține un tablou de pointeri?,Funcții de alocare dinamică,Doar valori numerice fixe,Adrese către alte variabile sau structuri,Date de tip întreg,C
384,"Într-un tablou de șiruri de caractere, fiecare element este un pointer la primul caracter al unui șir.",Ce reprezintă elementele unui tablou de șiruri de caractere?,Pointeri către primul caracter al fiecărui șir,Caractere individuale,Adrese constante,Numere întregi,A
385,Un pointer la funcție conține adresa unei funcții și poate fi folosit pentru a o apela indirect.,Ce conține un pointer la funcție?,Adresa funcției în memorie,Valoarea de retur a funcției,Codul sursă al funcției,Tipul de date al funcției,A
386,"Pointerii la funcții pot fi transmiși ca parametri, returnați sau stocați în tablouri.",Ce se poate face cu un pointer la funcție în C?,"Poate fi transmis, returnat sau stocat într-un tablou",Poate fi folosit doar în main,Poate fi comparat doar cu zero,Poate fi convertit în tip int,A
387,"Expresia int (*compare)(int a, int b) definește un pointer la o funcție care primește doi parametri întregi și returnează un întreg.","Ce definește expresia int (*compare)(int a, int b)?",O funcție recursivă,O funcție care returnează un pointer,O constantă funcțională,Un pointer la o funcție ce primește doi întregi și returnează un întreg,D
388,Compararea a doi pointeri care nu referențiază elemente din același tablou este o eroare logică.,Ce tip de eroare este compararea pointerilor care nu aparțin aceluiași tablou?,Eroare de sintaxă,Eroare de compilare,Eroare logică,Eroare de tip,C
389,Atribuirea unui pointer de un tip unui pointer de alt tip fără conversie (cast) este o eroare de programare.,Ce se întâmplă dacă se atribuie un pointer de tip diferit fără cast?,Compilatorul convertește automat tipurile,Este o eroare de programare,Rezultatul este întotdeauna 0,Programul compilează fără erori,B
390,"Folosirea pointerilor pentru transmiterea parametrilor este eficientă, dar poate duce la modificări nedorite dacă nu se utilizează const.",De ce este recomandat să se folosească calificatorul const la transmiterea pointerilor?,Pentru a preveni modificarea accidentală a datelor,Pentru a crește dimensiunea stivei,Pentru a accelera execuția programului,Pentru a permite conversia automată a tipurilor,A
391,Structurile sunt tipuri de date derivate care pot conține variabile de tipuri diferite sub același nume.,Ce reprezintă o structură în C?,O funcție de alocare a memoriei,Un tablou de variabile de același tip,Un tip de date care agregă variabile de tipuri diferite,Un tip de date primitiv,C
392,"Structurile sunt folosite pentru a crea tipuri de date complexe, cum ar fi înregistrări sau structuri de date dinamice.",Pentru ce sunt utilizate structurile în C?,Pentru stocarea constantelor globale,Pentru controlul fluxului de execuție,Pentru definirea tipurilor de date complexe și înregistrări,Pentru gestionarea mai multor variabile de același tip,C
393,Sintaxa generală pentru definirea unei structuri este: struct nume_tag { tip membru1; tip membru2; };,Care este sintaxa corectă pentru definirea unei structuri?,struct nume_tag = { valori };,struct nume_tag { tip membru1; tip membru2; };,structure { tip membru; };,typedef struct nume_tag();,B
394,"Membrii unei structuri pot fi de orice tip, inclusiv alți pointeri sau structuri.",Ce tipuri de date pot fi membri ai unei structuri?,"Orice tip de date, inclusiv structuri sau pointeri",Doar tipuri numerice,Doar pointeri,Doar tablouri,A
